,id,Words,CER
139,1261,می گفتید,0.062
140,2982,فارس,0.062
141,3282,آرام,0.062
142,1822,می خوابم,0.062
143,1851,می خواهم,0.062
144,1317,می مردیم,0.062
145,3429,سفید,0.062
146,1683,می ترسید,0.062
147,1327,می میری,0.063
148,2665,تابستان,0.063
149,2035,می بردم,0.064
150,2011,می بخشیدند,0.065
151,113,گرفتن,0.067
152,1022,فال,0.067
153,2117,باشند,0.067
154,658,قانون,0.067
155,3408,رود,0.067
156,634,راستگو,0.067
157,2270,بزنید,0.067
158,106,شروع,0.067
159,1088,بودیم,0.067
160,847,ماش,0.067
161,123,آدم,0.067
162,1152,می گذرانم,0.068
163,1202,می گرفتیم,0.068
164,1740,می خریدم,0.069
165,2068,می بستید,0.069
166,2140,دیده اید,0.069
167,2138,دیده,0.069
168,2711,حسود,0.069
169,1832,می خواستند,0.07
170,1007,سوپ خوری,0.071
171,3657,رستوران,0.071
172,2774,رازیانه,0.071
173,1243,می گردید,0.071
174,1250,بگردند,0.071
175,589,ریش,0.071
176,2030,می بخشم,0.071
177,1254,گفتیم,0.071
178,1253,گفت,0.071
179,2118,می باشم,0.071
180,1233,می گشتند,0.071
181,179,وابسته,0.072
182,2731,دبستان,0.074
183,3769,فروزان,0.074
184,829,سارا,0.075
185,1374,می ورزید,0.075
186,293,راست,0.075
187,2010,می بخشیدید,0.075
188,1335,بمیریم,0.075
189,3382,دفتر,0.075
190,1889,می آمدیم,0.075
191,135,زیبا,0.075
192,1888,می آمد,0.075
193,3418,زیاد,0.075
194,3396,دی,0.075
195,3994,نارگیل,0.075
196,2027,ببخشیم,0.075
197,2832,سانسور,0.075
198,1602,می گذاشتند,0.075
199,671,گوشت,0.075
200,18,گرفت,0.075
201,477,استقلال,0.076
202,2146,می بینید,0.076
203,1215,می گیرید,0.076
204,2093,می بندند,0.076
205,3765,فرماندهی,0.076
206,1739,می توانند,0.078
207,1828,می خواستی,0.078
208,2064,می بستم,0.079
209,2065,می بستی,0.079
210,2062,می برید,0.079
211,3299,اسلام,0.08
212,3335,ترتیب,0.08
213,1049,ارگان,0.08
214,3063,گفتار,0.08
215,255,بازار,0.08
216,133,روزانه,0.081
217,2039,می بردید,0.081
218,2069,می بستند,0.081
219,2040,می بردند,0.081
220,199,پیدا کردن,0.081
221,1240,می گردی,0.082
222,1932,انداخته اید,0.082
223,2729,دانش,0.083
224,597,شیرینی,0.083
225,3168,میز,0.083
226,2132,می دید,0.083
227,1195,گرفت,0.083
228,140,سالم,0.083
229,985,سیاه سوخته,0.083
230,2804,روزگار,0.083
231,3582,پیش پرداخت,0.083
232,3407,رود,0.083
233,2810,ریشه,0.083
234,750,بام,0.083
235,3479,فروخته,0.083
236,1214,می گیریم,0.083
237,2720,خداوند,0.083
238,2992,فرسایش,0.083
239,1398,شنیدیم,0.083
240,1376,می ورزیدید,0.085
241,2001,می بازی,0.086
242,2031,می بخشی,0.086
243,1245,بگردم,0.086
244,3476,فرزندان,0.086
245,176,شاد,0.086
246,1803,می خوابیدند,0.086
247,1013,کابوس,0.087
248,1010,رفتگر,0.087
249,2896,شمال,0.087
250,3001,قابل,0.087
251,2857,سوزش,0.087
252,3428,سفید,0.087
253,2033,می بخشیم,0.087
254,3584,تحریف,0.089
255,1769,می خندیدم,0.089
256,1404,می شنیدیم,0.089
257,1800,می خوابید,0.089
258,2755,دهقان,0.089
259,2328,شکستم,0.089
260,2808,ریحان,0.089
261,3671,زمانه,0.089
262,1774,می خندیدند,0.09
263,3859,نوروز,0.09
264,3417,زندگی,0.09
265,1773,می خندیدید,0.09
266,1772,می خندیدیم,0.09
267,1436,می فهمیدند,0.09
268,3026,کارما,0.09
269,1375,می ورزیدیم,0.09
270,1199,می گرفتم,0.09
271,1802,می خوابیدید,0.091
272,1954,ایستاد,0.092
273,613,کارت,0.092
274,1039,سرود,0.092
275,110,غذا کشیدن,0.093
276,1203,می گرفتید,0.093
277,1838,خواستند,0.093
278,2991,فرزندان,0.093
279,1008,زمین شناسی,0.093
280,1809,خوابیدند,0.094
281,754,زیست,0.094
282,1373,می ورزیدی,0.094
283,1315,می مردی,0.095
284,553,بیمارستان,0.096
285,129,توانایی,0.097
286,3677,زیبا,0.097
287,3615,خانه نشین,0.099
288,1708,می ترسیم,0.1
289,1544,کشیدم,0.1
290,1439,فهمیده,0.1
291,317,لوس,0.1
292,1884,می آورید,0.1
293,1767,می خریم,0.1
294,118,نشان,0.1
295,3376,درد,0.1
296,3875,ویرگول,0.1
297,1706,می ترسی,0.1
298,1132,نوشته شده بودند,0.1
299,2856,سوخته,0.1
300,3393,دو,0.1
301,2024,ببخشم,0.1
302,1369,ورزیدیم,0.1
303,147,کشور,0.1
304,1974,می ایستید,0.1
305,1891,می آمدند,0.1
306,3127,مستند,0.1
307,2726,خوراک,0.1
308,2500,میداری,0.1
309,1852,می خواهی,0.1
310,3017,کار,0.1
311,3195,نشان,0.1
312,2329,شکستی,0.1
313,656,فایده,0.1
314,3683,سازمان,0.102
315,2091,می بندیم,0.104
316,3675,زندگی بخش,0.105
317,1435,می فهمیدید,0.105
318,1799,می خوابیدی,0.105
319,918,مارشال,0.106
320,1387,می ورزیم,0.106
321,2067,می بستیم,0.106
322,1736,می تواند,0.106
323,1650,می پزند,0.107
324,1444,می فهمی,0.107
325,1246,بگرد,0.107
326,1779,خندیدید,0.107
327,1850,بخواهند,0.107
328,2509,دانستید,0.107
329,2061,می بریم,0.107
330,1016,کشتی,0.108
331,391,تیتر,0.108
332,193,نخستین,0.108
333,2060,می بری,0.108
334,1380,ورزیده,0.108
335,2354,بشکنیم,0.108
336,1319,می مردند,0.109
337,125,برداشتن,0.11
338,3030,کالری,0.11
339,1409,شنیده,0.11
340,3331,تاخیر,0.11
341,2435,بخوری,0.11
342,3218,نوروز,0.11
343,1785,خندیده اید,0.11
344,1312,مردید,0.111
345,2338,می شکستید,0.111
346,2130,می دیدم,0.111
347,2650,بیولوژی,0.111
348,1143,می گذراندیم,0.111
349,2141,دیده اند,0.111
350,3626,دانشمند,0.111
351,1770,می خندیدی,0.111
352,3623,خورشید,0.111
353,2692,جالب,0.111
354,2090,می بندد,0.111
355,2725,خلال,0.111
356,2246,زدید,0.111
357,2775,راستا,0.111
358,1330,می میرید,0.111
359,3710,سوزش,0.111
360,1973,می ایستیم,0.111
361,2591,آباد,0.111
362,1193,گرفتم,0.111
363,1305,بمانیم,0.111
364,1228,می گشتم,0.112
365,3531,آباد,0.112
366,3114,محفل,0.112
367,244,بابا,0.112
368,3914,زالو,0.112
369,1475,می کاریم,0.112
370,3059,گردو,0.112
371,1804,خوابیدم,0.114
372,249,تابستان,0.114
373,1849,بخواهید,0.114
374,2036,می بردی,0.114
375,1216,می گیرند,0.116
376,965,فروغ,0.117
377,479,بیمه,0.117
378,3264,ویترین,0.117
379,3400,ران,0.117
380,686,خداوند,0.117
381,1552,می کشیدیم,0.117
382,2029,ببخشند,0.117
383,3330,پول,0.117
384,3303,اقتصاد,0.117
385,2085,ببندیم,0.117
386,1681,می ترسیدم,0.117
387,2066,می بست,0.117
388,3648,رام کردن,0.118
389,1801,می خوابیدیم,0.118
390,2004,می بازید,0.119
391,1771,می خندید,0.119
392,3551,استقلال,0.119
393,1298,می مانم,0.119
394,2089,می بندی,0.119
395,2120,می باشد,0.119
396,2870,شاباش,0.12
397,527,تاکسی,0.12
398,2998,فروتن,0.12
399,3819,مبارک,0.12
400,1710,می توانستم,0.12
401,1196,گرفتیم,0.12
402,2698,جنتلمن,0.12
403,2717,خانمان,0.12
404,1093,دیده می‌شود,0.121
405,1473,می کاری,0.121
406,2508,دانستیم,0.121
407,3217,نوازنده,0.121
408,1648,می پزیم,0.121
409,3566,بادام,0.122
410,492,مار,0.122
411,2103,بودیم,0.122
412,414,انفجار,0.122
413,992,تار,0.122
414,3716,شامپو,0.122
415,1919,می انداختیم,0.123
416,953,سالاد خوری,0.123
417,1153,می گذرانی,0.123
418,3684,سازمان,0.125
419,2147,می بینند,0.125
420,3100,مترادف,0.125
421,1971,می ایستی,0.125
422,707,کاشت,0.125
423,1104,می‌آمدند,0.125
424,3659,رسید,0.125
425,3265,ویرگول,0.125
426,2110,بوده اید,0.125
427,1433,می فهمید,0.125
428,1232,می گشتید,0.125
429,662,کارد,0.125
430,2838,سرنشین,0.125
431,1456,کاشت,0.125
432,2736,درست,0.125
433,3575,بینا,0.125
434,1200,می گرفتی,0.125
435,2092,می بندید,0.125
436,1846,بخواهی,0.125
437,787,کپسول,0.127
438,2288,شده اید,0.127
439,2257,زده ایم,0.127
440,2258,زده اید,0.127
441,1432,می فهمیدی,0.128
442,2032,می بخشد,0.129
443,1836,خواستیم,0.129
444,2015,بخشیدیم,0.129
445,1403,می شنید,0.129
446,1256,گفتند,0.129
447,644,شاهد,0.129
448,2188,رسیدید,0.13
449,3706,سوپ,0.13
450,2331,شکستیم,0.13
451,2102,بود,0.13
452,2687,تیر,0.13
453,1071,دیفرانسیل,0.13
454,1685,می ترسیدید,0.13
455,3523,همیشه,0.13
456,2434,بخورم,0.13
457,2022,بخشیده اید,0.13
458,1830,می خواستیم,0.13
459,1797,می خندند,0.131
460,1676,می پذیری,0.131
461,1551,می کشیدی,0.131
462,1523,می کشتیم,0.131
463,1890,می آمدید,0.131
464,1446,می فهمیم,0.131
465,1714,می توانستید,0.132
466,1655,می پذیرفتید,0.132
467,2624,امپراتور,0.132
468,2779,راه سازی,0.132
469,1169,می گذشتن,0.132
470,2185,رسیدی,0.133
471,1033,شور,0.133
472,747,آلودن,0.133
473,986,شمشیر,0.133
474,87,هیچ,0.133
475,1827,می خواستم,0.133
476,3827,مجازات,0.133
477,2059,می برم,0.133
478,1647,می پزد,0.133
479,909,فیبر,0.133
480,3636,دهقان,0.133
481,713,مادر,0.133
482,284,چوب,0.133
483,2115,باشیم,0.133
484,579,اقتصاد,0.133
485,3676,زیارت,0.133
486,3358,چوب,0.133
487,3171,میکروسکوپ,0.133
488,2136,دیده ام,0.135
489,3616,خبرگزار,0.135
490,2002,می بازد,0.136
491,3815,لیموناد,0.136
492,1370,ورزیدید,0.136
493,1112,می‌خواهند,0.136
494,1204,می گرفتند,0.136
495,1654,می پذیرفتیم,0.136
496,1715,می توانستند,0.136
497,1921,می انداختند,0.136
498,1925,انداختیم,0.138
499,3448,شیشه,0.138
500,1550,می کشیدم,0.138
501,3226,هفته,0.138
502,1748,خرید,0.138
503,3256,وزیر,0.138
504,2351,می شکنند,0.138
505,1883,می آوریم,0.138
506,507,فرمانده,0.138
507,190,مبارزه,0.139
508,2323,می شویند,0.139
509,3682,سازگار,0.139
510,1755,خریده ایم,0.139
511,1102,می توانم,0.139
512,2766,ذهنی,0.139
513,1329,می میریم,0.139
514,1757,خریده اند,0.139
515,1103,می توانی,0.139
516,3573,بیلیون,0.139
517,2883,شرایط,0.14
518,3267,ویزیت,0.14
519,1747,خریدی,0.14
520,3082,گیتار,0.14
521,3836,مستند,0.14
522,144,فرهنگ,0.14
523,642,ستاره,0.14
524,1713,می توانستیم,0.141
525,1646,می پزی,0.142
526,2013,بخشیدی,0.142
527,797,بینا,0.142
528,2037,می برد,0.142
529,2356,بشکنند,0.142
530,4016,ویترین,0.142
531,3764,فرمانداری,0.142
532,1174,می گذشتند,0.142
533,3154,می‌بینی,0.143
534,1211,می گیرم,0.143
535,1259,می گفت,0.143
536,1474,می کارد,0.143
537,3549,استخدام,0.143
538,2017,بخشیدند,0.143
539,2526,بدانیم,0.143
540,1288,می ماند,0.143
541,3411,روزنامه,0.143
542,1239,می گردم,0.143
543,1114,می‌داند,0.143
544,3487,کاراکتر,0.143
545,1520,می کشتم,0.143
546,3902,رازیانه,0.143
547,1213,می گیرد,0.143
548,2263,می زنیم,0.143
549,1885,می آورند,0.144
550,2341,شکسته ای,0.144
551,1709,می ترسند,0.144
552,3712,سیگار,0.144
553,1155,می گذرانید,0.144
554,3763,فرشید,0.144
555,1679,می پذیرید,0.144
556,3560,افغان,0.144
557,2663,پولاد,0.144
558,1372,می ورزیدم,0.144
559,2105,بودند,0.144
560,2217,رفتید,0.144
561,1940,می اندازم,0.144
562,2803,روبان,0.144
563,3583,پیشگو,0.144
564,3482,قابلیت‌ها,0.144
565,1377,می ورزیدند,0.145
566,2021,بخشیده ایم,0.145
567,1383,ورزیده اند,0.145
568,1107,می‌باشند,0.146
569,876,زولبیا,0.146
570,2109,بوده ایم,0.146
571,376,مجازی,0.147
572,842,زیتون,0.147
573,1289,می ماندیم,0.148
574,3574,بین,0.148
575,3638,دوربین,0.148
576,2812,زایمان,0.148
577,2248,می زدم,0.148
578,2605,آموخته بودند,0.148
579,175,دسته بندی,0.148
580,2243,زدی,0.148
581,2187,رسیدیم,0.148
582,1680,می پذیرند,0.15
583,1382,ورزیده اید,0.15
584,3120,مراقب,0.15
585,1872,آورده ایم,0.15
586,1462,می کاشت,0.15
587,3886,اورانوس,0.15
588,1794,می خندی,0.15
589,696,سیلی,0.15
590,235,گرفتار,0.15
591,1686,می ترسیدند,0.15
592,2496,بداریم,0.15
593,1824,می خوابد,0.15
594,2014,بخشید,0.15
595,2417,خوردی,0.15
596,1476,می کارید,0.15
597,343,ترمیم,0.15
598,734,رویداد,0.15
599,1790,بخندیم,0.15
600,3231,همین,0.15
601,1649,می پزید,0.15
602,1784,خندیده ایم,0.15
603,3314,بنزین,0.15
604,3336,ترسناک,0.15
605,3319,بیمارستان ,0.15
606,2867,سیگار,0.15
607,1477,می کارند,0.15
608,3236,هورمون,0.15
609,3117,مخزن,0.15
610,1367,ورزیدی,0.15
611,3385,دل,0.15
612,23,نیست,0.15
613,1493,می کردیم,0.15
614,357,دارو,0.15
615,1795,می خندد,0.15
616,3184,نارگیل,0.15
617,2831,سازش,0.15
618,1154,می گذرانیم,0.15
619,1745,می خریدند,0.15
620,1815,خوابیده اند,0.15
621,2142,می بینم,0.151
622,3686,سانسور ,0.151
623,2265,می زنند,0.151
624,2287,شده ایم,0.151
625,1262,می گفتند,0.152
626,296,رستوران,0.152
627,957,سیسمونی,0.152
628,2100,بودم,0.153
629,3603,چانه,0.153
630,2713,حضور,0.153
631,2652,پارچ,0.153
632,1322,مرده,0.153
633,2785,رحمت,0.153
634,2139,دیده ایم,0.153
635,2824,زیرک,0.153
636,2335,می شکستی,0.153
637,1258,می گفتی,0.153
638,972,پارچه,0.153
639,431,فیزیک,0.153
640,1300,می مانیم,0.154
641,1951,می ایستادند,0.155
642,1220,بگیرید,0.155
643,1696,ترسیده ایم,0.155
644,929,ژورنالیست,0.156
645,1064,جانشین,0.156
646,1059,زال,0.156
647,3619,خلبان,0.156
648,3581,پیانو,0.156
649,2129,دیدند,0.156
650,2216,رفتیم,0.156
651,1825,می خوابیم,0.156
652,1388,می ورزند,0.156
653,3148,می‌آمدند,0.156
654,158,خوشگل,0.156
655,1956,ایستادید,0.156
656,3540,آمبولانس,0.156
657,3214,نمی‌داند,0.156
658,1796,می خندیم,0.156
659,2362,شناختند,0.157
660,1472,می کارم,0.157
661,1505,می کنیم,0.157
662,3014,کاتولیک,0.157
663,2532,میدانیم,0.157
664,1091,داشتند,0.157
665,594,شب نشینی,0.158
666,52,تمیز,0.158
667,1336,بمیرید,0.158
668,639,روشن فکر,0.158
669,1451,بفهمیم,0.158
670,1399,شنیدید,0.158
671,3187,نایلون,0.158
672,857,رانت,0.158
673,2289,شده اند,0.159
674,2295,می شوند,0.159
675,2253,می زدند,0.159
676,2137,دیده ای,0.159
677,1176,گذشته ای,0.16
678,3719,شرافتمند,0.16
679,1113,می‌خواهی,0.16
680,1651,می پذیرفتم,0.16
681,1944,می اندازید,0.16
682,3103,متفکر,0.16
683,1873,آورده اید,0.161
684,1465,می کاشتند,0.161
685,3160,می‌خواهند,0.161
686,3440,شبانه روز,0.161
687,1463,می کاشتیم,0.161
688,1678,می پذیریم,0.161
689,149,گم کردن,0.162
690,1150,گذرانده اید,0.162
691,913,لابراتور,0.162
692,3397,ذهنی,0.162
693,3399,راست,0.162
694,1753,خریده ای,0.162
695,3039,کنیز,0.162
696,2839,سروش,0.162
697,1269,می گویم,0.163
698,1793,می خندم,0.164
699,1521,می کشتی,0.164
700,1443,می فهمم,0.164
701,2875,شاهدانه,0.164
702,1881,می آورم,0.164
703,2515,می‌دانستید,0.165
704,2023,بخشیده اند,0.165
705,2220,می رفتی,0.167
706,3525,هیچ,0.167
707,2199,رسیده ایم,0.167
708,1687,ترسیدم,0.167
709,154,همچنان,0.167
710,2437,بخوریم,0.167
711,3726,شنیدن,0.167
712,2303,شستی,0.167
713,2730,دانه,0.167
714,1097,کاشتن,0.167
715,2028,ببخشید,0.167
716,3395,دوشنبه,0.167
717,305,شام,0.167
718,1111,می‌خواهد,0.167
719,2330,شکست,0.167
720,2420,خوردید,0.167
721,1276,بگوید,0.167
722,3005,قابلیت‌ها,0.167
723,2124,دیدم,0.167
724,2807,ریاضیات,0.167
725,2644,بزاق,0.167
726,2702,چاک,0.167
727,2811,زاویه,0.167
728,2198,رسیده,0.167
729,2012,بخشیدم,0.167
730,3871,وطن,0.167
731,1123,می‌گفتند,0.167
732,2186,رسید,0.167
733,2419,خوردیم,0.167
734,128,تلاش,0.167
735,1307,بمانند,0.167
736,1854,می خواهیم,0.167
737,2714,خارج,0.167
738,3031,کتاب خوان,0.167
739,3414,ریز,0.167
740,137,شمارش,0.167
741,2112,باشم,0.167
742,2632,ایستادم,0.168
743,1461,می کاشتی,0.169
744,3153,می‌بینند,0.169
745,1231,می گشتیم,0.17
746,2025,ببخشی,0.17
747,2430,خورده,0.17
748,2353,بشکنی,0.17
749,2507,دانست,0.17
750,3933,شاهدانه,0.171
751,2502,میداریم,0.171
752,1078,ویزیتور,0.171
753,1887,می آمدی,0.171
754,3162,می‌دانم,0.171
755,1299,می مانی,0.171
756,1886,می آمدم,0.171
757,1553,می کشیدید,0.172
758,1682,می ترسیدی,0.172
759,997,فرزانه,0.172
760,1597,می گذاشتم,0.172
761,1406,می شنیدند,0.172
762,103,خندیدن,0.172
763,1862,می آوردند,0.172
764,3672,زمین لرزه,0.173
765,192,یکسان,0.173
766,858,زنبور,0.173
767,1108,می‌بینند,0.174
768,2229,رفته اید,0.174
769,2223,می رفتید,0.174
770,1109,می‌بینی,0.175
771,2309,می شستی,0.175
772,1955,ایستادیم,0.175
773,3416,زمان,0.175
774,3266,ویزا,0.175
775,1645,می پزم,0.175
776,1675,می پذیرم,0.175
777,1970,می ایستم,0.175
778,347,تیره,0.175
779,3295,احتمال,0.175
780,1006,سنجد,0.175
781,252,تشنه,0.175
782,1810,خوابیده ام,0.175
783,1823,می خوابی,0.175
784,3274,سلام,0.175
785,1611,می گذارد,0.175
786,1483,بکارند,0.175
787,588,زنده,0.175
788,1133,ورزیدن,0.176
789,1306,بمانید,0.176
790,2151,ببینیم,0.176
791,2602,آلوچه,0.176
792,1963,ایستاده اند,0.177
793,2339,می شکستند,0.178
794,1405,می شنیدید,0.178
795,1156,می گذرانند,0.178
796,1860,می آوردیم,0.178
797,2210,برسیم,0.178
798,1141,می گذراندی,0.178
799,102,خشن,0.178
800,3481,قابل‌بیان,0.178
801,2019,بخشیده ای,0.178
802,1613,می گذارید,0.178
803,2567,می دوید,0.179
804,3151,می‌باشی,0.179
805,1915,می آیند,0.179
806,3787,کنفرانس,0.179
807,2441,می‌خوری,0.179
808,2016,بخشیدید,0.179
809,1208,گرفته ایم,0.179
810,2990,فرزاد,0.18
811,1754,خریده,0.18
812,1455,کاشتی,0.18
813,3140,مهاجر,0.18
814,1746,خریدم,0.18
815,3313,بستنی,0.18
816,3250,وخامت,0.18
817,3204,نگارش,0.18
818,3835,مرموز,0.18
819,2056,ببریم,0.18
820,1943,می اندازیم,0.18
821,3635,دلیر,0.181
822,2321,می شوییم,0.181
823,1301,می مانید,0.181
824,1460,می کاشتم,0.181
825,1525,می کشتند,0.181
826,1962,ایستاده اید,0.182
827,1144,می گذراندید,0.182
828,2293,می شویم,0.183
829,2320,می شویی,0.183
830,1426,فهمیدی,0.183
831,3141,مهربان,0.183
832,1764,می خرم,0.183
833,3509,مهر,0.183
834,1026,جاندار,0.183
835,261,خیابان,0.183
836,3344,تلگرام,0.183
837,2530,میدانی,0.183
838,1861,می آوردید,0.183
839,1653,می پذیرفت,0.183
840,967,آرتیست,0.183
841,2498,بدارند,0.183
842,1783,خندیده,0.183
843,3136,ملاحظه,0.183
844,945,چانه,0.183
845,2086,ببندید,0.183
846,1765,می خری,0.183
847,1737,می توانیم,0.183
848,3446,شهر,0.183
849,1229,می گشتی,0.184
850,2606,آناتومی,0.185
851,2366,می شناختیم,0.185
852,849,آفتاب‌پرست,0.185
853,2514,می‌دانستیم,0.185
854,2292,می شود,0.185
855,2195,می رسیدند,0.185
856,3637,دود,0.185
857,2728,دانستن,0.185
858,2286,شده,0.185
859,2688,تیم,0.185
860,2722,خصوصیت,0.185
861,2337,می شکستیم,0.185
862,1386,می ورزد,0.186
863,1385,می ورزی,0.186
864,517,دیجیتال,0.186
865,2360,شناختیم,0.186
866,1848,بخواهیم,0.186
867,47,بیرون,0.187
868,151,نمونه,0.187
869,272,تاریخ,0.187
870,356,خیانت,0.187
871,3645,رادیاتور,0.188
872,2601,آلو,0.188
873,2080,بسته اید,0.188
874,3898,دیسک,0.188
875,2078,بسته,0.188
876,2052,برده اند,0.188
877,2111,بوده اند,0.188
878,1734,می توانم,0.188
879,1401,می شنیدم,0.188
880,3093,ماکارونی,0.188
881,2889,شعور,0.188
882,2051,برده اید,0.188
883,2770,رادیاتور,0.188
884,2049,برده,0.188
885,3309,بازو,0.188
886,3903,راکت,0.188
887,1829,می خواست,0.188
888,93,پاس,0.189
889,1002,دامدار,0.189
890,2018,بخشیده ام,0.189
891,1087,باختم,0.189
892,455,خون,0.189
893,2425,می‌خوردیم,0.189
894,2074,بستید,0.19
895,3514,نشانه,0.19
896,1698,ترسیده اند,0.19
897,1652,می پذیرفتی,0.19
898,3230,همیشه,0.19
899,1381,ورزیده ایم,0.19
900,2342,شکسته,0.19
901,1895,آمدیم,0.19
902,3406,رفتار,0.19
903,2251,می زدیم,0.19
904,720,پارازیت,0.19
905,1248,بگردیم,0.19
906,1125,می‌ماند,0.19
907,1249,بگردید,0.19
908,1949,می ایستادیم,0.191
909,3956,فرانک,0.191
910,1331,می میرند,0.191
911,2193,می رسیدیم,0.191
912,1209,گرفته اید,0.191
913,531,آشتی,0.192
914,3858,نفرین ,0.192
915,1366,ورزیدم,0.192
916,216,سوخت,0.192
917,3228,همبازی,0.192
918,3916,زنگوله,0.192
919,300,زمین,0.192
920,1751,خریدند,0.192
921,1458,کاشتید,0.192
922,1425,فهمیدم,0.192
923,2877,شایسته,0.192
924,1337,بمیرند,0.192
925,3044,کوکایین,0.193
926,1535,می کشیم,0.193
927,1705,می ترسم,0.193
928,1430,فهمیدند,0.193
929,3371,دانشگاه,0.193
930,538,اخبار,0.193
931,419,تقویم,0.193
932,92,بسیار,0.193
933,388,تسلیم,0.193
934,697,شرافت,0.193
935,3345,تلویزیون,0.194
936,1903,آمده اند,0.194
937,3147,می توانی,0.194
938,1524,می کشتید,0.194
939,2423,می‌خوردی,0.194
940,1554,می کشیدند,0.194
941,2599,آفتاب پرست,0.194
942,2222,می رفتیم,0.194
943,3625,دامدار,0.194
944,1286,می ماندم,0.194
945,1162,بگذرانند,0.194
946,148,گذاشتن,0.194
947,1161,بگذرانید,0.194
948,2761,دیکتاتور,0.194
949,2776,راکت,0.194
950,3678,زیرانداز,0.194
951,3901,رادیولوژی,0.194
952,2569,می دویدید,0.194
953,1941,می اندازی,0.194
954,2595,آدرنالین,0.194
955,1442,فهمیده اند,0.195
956,2368,می شناختند,0.195
957,1572,می کوبیدید,0.195
958,198,ایستادن,0.195
959,1237,گشته اید,0.196
960,9,خود,0.197
961,1677,می پذیرد,0.199
962,2473,می‌دهید,0.2
