,برچسب فولدر,words,Finglish,phonetic,phonetic-separated
42,43,پشت,posht,poʃt,p-o-ʃ-t
43,44,باعث,baes,bɑʔes,b-ɑ-ʔ-e-s
44,45,بخش,bakhsh,baxʃ,b-a-x-ʃ
45,46,بلند,boland,boland,b-o-l-a-n-d
46,47,بیرون,biroon,biruːn,b-i-r-uː-n
47,48,بیشتر,bishtar,biʃtar,b-i-ʃ-t-a-r
48,49,ترس,tars,tars,t-a-r-s
49,50,پسر,pesar,pesar,p-e-s-a-r
50,51,تقریبا,taghriban,taq1riban,t-a-q-1-r-i-b-a-n
51,52,تمیز,tamiz,tamiz,t-a-m-i-z
52,53,تند,tond,tond,t-o-n-d
53,54,بله,bale,baleː,b-a-l-eː
54,55,ثانیه,sanyie,sɑnije,s-ɑ-n-i-j-e
55,56,ثبت,sabt,sabt,s-a-b-t
56,57,حفظ,hefz,hefz,h-e-f-z
57,58,خارج,kharej,xɑredʒ,x-ɑ-r-e-dʒ
58,59,خانه,khane,xɑneː,x-ɑ-n-eː
59,60,خروج,khoroj,xoruːdʒ,x-o-r-uː-dʒ
60,61,خسته,khaste,xasteː,x-a-s-t-eː
61,62,خواب,khaab,xɑb,x-ɑ-b
62,63,خوابیدن,khabidan,xɑbidan,x-ɑ-b-i-d-a-n
63,64,خواننده,khanande,xɑnande,x-ɑ-n-a-n-d-e
64,65,داداش,dadash,dɑdɑʃ,d-ɑ-d-ɑ-ʃ
65,66,روشن,rooshan,roʃan,r-o-ʃ-a-n
66,67,زشت,zesht,zeʃt,z-e-ʃ-t
67,68,زنگ زدن,zang zadan,zanɡ zadan,z-a-n-ɡ_z-a-d-a-n
68,69,سخت,shakt,saxt,s-a-x-t
69,70,شب,shabieh,ʃab,ʃ-a-b
70,71,شکل,shekl,ʃekl,ʃ-e-k-l
71,72,صد,sad,sad,s-a-d
72,73,صفر,sefr,sefr,s-e-f-r
73,74,طولانی,toolani,tuːlɑni,t-uː-l-ɑ-n-i
74,75,ظاهرا,zaheran,zɑheran,z-ɑ-h-e-r-a-n
75,76,ظرف,zarf,zarf,z-a-r-f
76,77,عمومی,omomi,omuːmi,o-m-uː-m-i
77,78,فهمید,fahmid,fahmid,f-a-h-m-i-d
78,79,کثیف,kasif,kasif,k-a-s-i-f
79,80,قبل,ghabl,q1abl,q-1-a-b-l
80,81,گرسنه,gorosne,ɡorosneː,ɡ-o-r-o-s-n-eː
81,82,گشنه,goshne,ɡoʃneː,ɡ-o-ʃ-n-eː
82,83,نظر,nazar,nazar,n-a-z-a-r
83,84,واژه,vazhe,vɑʒeː,v-ɑ-ʒ-eː
84,85,واقعی ,vaghei,vɑq1eʔi,v-ɑ-q-1-e-ʔ-i
85,86,وقت,vaght,vaq1t,v-a-q-1-t
86,87,هیچ,hich,hitʃ,h-i-tʃ
87,88,کلمه,kalame,kalameː,k-a-l-a-m-eː
88,89,کوچک,koochak,kuːtʃak,k-uː-tʃ-a-k
89,90,اتفاقا,etefaghan,ettefɑq1an,e-t-t-e-f-ɑ-q-1-a-n
90,91,باختن,bakhtan,bɑxtan,b-ɑ-x-t-a-n
91,92,بسیار,besyar,besijɑr,b-e-s-i-j-ɑ-r
92,93,پاس,paas,pɑs,p-ɑ-s
93,94,پختن,pokhtan,poxtan,p-o-x-t-a-n
94,95,پر کردن,por kardan,por kardan,p-o-r_k-a-r-d-a-n
95,96,تنها,tanha,tanhɑ,t-a-n-h-ɑ
96,97,حاضر,hazer,hɑzer,h-ɑ-z-e-r
97,98,حداقل,hadeaghal,haddeaq1al,h-a-d-d-e-a-q-1-a-l
98,99,حرکت,harekat,harekat,h-a-r-e-k-a-t
99,100,حیف,heyf,hejf,h-e-j-f
100,101,خرج,kharj,xardʒ,x-a-r-dʒ
101,102,خشن,khashen,xaʃen,x-a-ʃ-e-n
102,103,خندیدن,khandidan,xandidan,x-a-n-d-i-d-a-n
103,104,خوردن,khordan,xordan,x-o-r-d-a-n
104,105,شرط,shart,ʃart,ʃ-a-r-t
105,106,شروع,shoro,ʃoruːʔ,ʃ-o-r-uː-ʔ
106,107,طبیعی,tabiei,tabiʔi,t-a-b-i-ʔ-i
107,108,طرف,taraf,taraf,t-a-r-a-f
108,109,عادت,adat,ɑdat,ɑ-d-a-t
109,110,غذا کشیدن,ghaza keshidan,q1azɑ keʃidan,q-1-a-z-ɑ_k-e-ʃ-i-d-a-n
110,111,غصه,ghose,q1osseː,q-1-o-s-s-eː
111,112,کمک,komak,komak,k-o-m-a-k
112,113,گرفتن,gereftan,ɡereftan,ɡ-e-r-e-f-t-a-n
113,114,لاغر,laghar,lɑq1ar,l-ɑ-q-1-a-r
114,115,متوجه,motevaje,motevadʒdʒeː,m-o-t-e-v-a-dʒ-dʒ-eː
115,116,مستقیما,mostaghiman,mostaq1iman,m-o-s-t-a-q-1-i-m-a-n
116,117,ناراحت,narahat,nɑrɑhat,n-ɑ-r-ɑ-h-a-t
117,118,نشان,neshan,neʃɑn,n-e-ʃ-ɑ-n
118,119,وجود,vojod,vodʒuːd,v-o-dʒ-uː-d
119,120,شنید ,shenid,ʃenid,ʃ-e-n-i-d
120,121,ویژگی,vizhegi,viʒeɡi,v-i-ʒ-e-ɡ-i
121,122,یاد دادن,yad dadan,jɑd dɑdan,j-ɑ-d_d-ɑ-d-a-n
122,123,آدم,adam,ɑdam,ɑ-d-a-m
123,124,اضطراب,ezterab,ezterɑb,e-z-t-e-r-ɑ-b
124,125,برداشتن,bardashtan,bardɑʃtan,b-a-r-d-ɑ-ʃ-t-a-n
125,126,بهترین,behtarin,behtarin,b-e-h-t-a-r-i-n
126,127,تصمیم,tasmim,tasmim,t-a-s-m-i-m
127,128,تلاش,talash,talɑʃ,t-a-l-ɑ-ʃ
128,129,توانایی,tavanaee,tavɑnɑiː,t-a-v-ɑ-n-ɑ-iː
129,130,حالت,halat,hɑlat,h-ɑ-l-a-t
130,131,حساب,hesab,hesɑb,h-e-s-ɑ-b
131,132,دوست داشتن,doost dashtan,duːst dɑʃtan,d-uː-s-t_d-ɑ-ʃ-t-a-n
132,133,روزانه,roozaneh,ruːzɑneː,r-uː-z-ɑ-n-eː
133,134,رفتار,raftar,raftɑr,r-a-f-t-ɑ-r
134,135,زیبا,ziba,zibɑ,z-i-b-ɑ
135,136,شخص,shakhs,ʃaxs,ʃ-a-x-s
136,137,شمارش,shomaresh,ʃomɑreʃ,ʃ-o-m-ɑ-r-e-ʃ
137,138,هوا,hava,havɑ,h-a-v-ɑ
138,139,ضعیف,zaeef,zaʔif,z-a-ʔ-i-f
139,140,سالم,salem,sɑlem,s-ɑ-l-e-m
140,141,غلط داشتن,ghalat dashtan,q1alat dɑʃtan,q-1-a-l-a-t_d-ɑ-ʃ-t-a-n
141,142,عکس,aks,aːks,aː-k-s
142,143,عملا,amalan,amalan,a-m-a-l-a-n
143,144,فرهنگ,farhang,farhanɡ,f-a-r-h-a-n-ɡ
144,145,فکر,fekr,fekr,f-e-k-r
145,146,کاربری,karbari,kɑrbari,k-ɑ-r-b-a-r-i
146,147,کشور,keshvar,keʃvar,k-e-ʃ-v-a-r
147,148,گذاشتن,gozashtan,ɡozɑʃtan,ɡ-o-z-ɑ-ʃ-t-a-n
148,149,گم کردن,gom kardan,ɡom kardan,ɡ-o-m_k-a-r-d-a-n
149,150,گوش,goosh,ɡuːʃ,ɡ-uː-ʃ
150,151,نمونه,nemone,nemuneː,n-e-m-u-n-eː
151,152,نهایتا,nahaayatan,nahɑjatan,n-a-h-ɑ-j-a-t-a-n
152,153,وسط,vasat,vasat,v-a-s-a-t
153,154,همچنان,hamchenan,hamtʃenɑn,h-a-m-tʃ-e-n-ɑ-n
154,155,تهیه,tahie,tahiːjeː,t-a-h-iː-j-eː
155,156,توان,tavaan,tavɑn,t-a-v-ɑ-n
156,157,توسط,tavasot,tavassote,t-a-v-a-s-s-o-t-e
157,158,خوشگل,khoshgel,xoʃɡel,x-o-ʃ-ɡ-e-l
158,159,ضروری,zaroori,zaruːri,z-a-r-uː-r-i
159,160,طاقت آوردن,taghat avardan,tɑq1at ɑvardan,t-ɑ-q-1-a-t_ɑ-v-a-r-d-a-n
160,161,طبقه بندی,tabaghe bandi,tabaq1eː bandi,t-a-b-a-q-1-eː_b-a-n-d-i
161,162,ظربف,zareef,zarbaf,z-a-r-b-a-f
162,163,غلط گرفتن,ghalat gereftan,q1alat ɡereftan,q-1-a-l-a-t_ɡ-e-r-e-f-t-a-n
163,164,فراهم,faraham,farɑham,f-a-r-ɑ-h-a-m
164,165,فرصت,forsat,forsat,f-o-r-s-a-t
165,166,کلاس,kelas,kelɑs,k-e-l-ɑ-s
166,167,نابود,nabood,nɑbuːd,n-ɑ-b-uː-d
167,168,نازک,nazook,nɑzok,n-ɑ-z-o-k
168,169,ناقص,naghes,nɑq1es,n-ɑ-q-1-e-s
169,170,نسبت,nesbat,nesbat,n-e-s-b-a-t
170,171,نوشتن,neveshtan,neveʃtan,n-e-v-e-ʃ-t-a-n
171,172,یادداشت,yad dashtan,jɑddɑʃt,j-ɑ-d-d-ɑ-ʃ-t
172,173,بخشیدن,bakhshidan,baxʃidan,b-a-x-ʃ-i-d-a-n
173,174,تبدیل,tabdil,tabdil,t-a-b-d-i-l
174,175,دسته بندی,daste bandi,dasteː bandi,d-a-s-t-eː_b-a-n-d-i
175,176,شاد,shad,ʃɑd,ʃ-ɑ-d
176,177,عضو,ozve,ozv,o-z-v
177,178,غم انگیز,gham angiz,q1am aːnɡiz,q-1-a-m_aː-n-ɡ-i-z
178,179,وابسته,vabaste,vɑbasteː,v-ɑ-b-a-s-t-eː
179,180,شناسایی,shenasaee,ʃenɑsɑiː,ʃ-e-n-ɑ-s-ɑ-iː
180,181,کاشتن,kashtan,kɑʃtan,k-ɑ-ʃ-t-a-n
181,182,کند,kond,konad,k-o-n-a-d
182,183,گفت و گو,gofto goo,ɡoft va ɡuː,ɡ-o-f-t_v-a_ɡ-uː
183,184,همراهی,hamrahi,hamrɑhi,h-a-m-r-ɑ-h-i
184,185,دریافت,daryaft,darjɑft,d-a-r-j-ɑ-f-t
185,186,رشد,roshd,roʃd,r-o-ʃ-d
186,187,عوارض,avaarez,avɑrez,a-v-ɑ-r-e-z
187,188,غیر فعال,gheyr faal,q1ejr faːʔɑl,q-1-e-j-r_f-aː-ʔ-ɑ-l
188,189,فرایند,far ayand,farɑjand,f-a-r-ɑ-j-a-n-d
189,190,مبارزه,mobareze,mobɑrezeː,m-o-b-ɑ-r-e-z-eː
190,191,مخترع,mokhtare,moxtareʔ,m-o-x-t-a-r-e-ʔ
191,192,یکسان,yeksan,jeksɑn,j-e-k-s-ɑ-n
192,193,نخستین,nokhostin,naxostin,n-a-x-o-s-t-i-n
193,194,پشتیبان,poshtibaan,poʃtibɑn,p-o-ʃ-t-i-b-ɑ-n
194,195,ذاتا,zatan,zɑtan,z-ɑ-t-a-n
195,196,رسمیت,rasmiat,rasmiːjat,r-a-s-m-iː-j-a-t
196,197,اثر,asar,aːsar,aː-s-a-r
197,198,ایستادن,eestadan,iːstɑdan,iː-s-t-ɑ-d-a-n
198,199,پیدا کردن,peyda kardan,pejdɑ kardan,p-e-j-d-ɑ_k-a-r-d-a-n
199,200,رساندن,resandan,resɑndan,r-e-s-ɑ-n-d-a-n
200,201,سادگی,sadegi,sɑdeɡi,s-ɑ-d-e-ɡ-i
201,202,ساعت,saat,sɑʔat,s-ɑ-ʔ-a-t
202,203,سرگرمی,sargarmi,sarɡarmi,s-a-r-ɡ-a-r-m-i
203,204,سلام کردن,salam jardan,salɑm kardan,s-a-l-ɑ-m_k-a-r-d-a-n
204,205,شستن,shostan,ʃostan,ʃ-o-s-t-a-n
205,206,شماره,shomaresh,ʃomɑreː,ʃ-o-m-ɑ-r-eː
206,207,عجله,ajale,adʒaleː,a-dʒ-a-l-eː
207,208,گرم,garm,ɡarm,ɡ-a-r-m
208,209,ابتدا,ebteda,ebtedɑ,e-b-t-e-d-ɑ
209,210,انصراف,enseraf,enserɑf,e-n-s-e-r-ɑ-f
210,211,توانستن,tavanestan,tavɑnestan,t-a-v-ɑ-n-e-s-t-a-n
211,212,راه دادن,rah dadan,rɑh dɑdan,r-ɑ-h_d-ɑ-d-a-n
212,213,زیاده روی,ziade ravi,ziɑdeː ruje,z-i-ɑ-d-eː_r-u-j-e
213,214,ساخت,sakht,sɑxt,s-ɑ-x-t
214,215,سلامت,salamat,salɑmat,s-a-l-ɑ-m-a-t
215,216,سوخت,sokht,suxt,s-u-x-t
216,217,عادی,adi,ɑdi,ɑ-d-i
217,218,فراموش,faraamoosh,farɑmuʃ,f-a-r-ɑ-m-u-ʃ
218,219,واکنش,vakonesh,vɑkoneʃ,v-ɑ-k-o-n-e-ʃ
219,220,ربط داشتن,rabt dashtan,rabt dɑʃtan,r-a-b-t_d-ɑ-ʃ-t-a-n
220,221,سروقت,sar vaght,sarevaq1t,s-a-r-e-v-a-q-1-t
221,222,غیرممکن,gheyr momekn,q1ejremomken,q-1-e-j-r-e-m-o-m-k-e-n
222,223,فرق,fargh,farq1,f-a-r-q-1
223,224,مستقیم,mostaghiman,mostaq1im,m-o-s-t-a-q-1-i-m
224,225,بازداشت,bazdasht,bɑzdɑʃt,b-ɑ-z-d-ɑ-ʃ-t
225,226,رد کردن,rad kardan,rad kardan,r-a-d_k-a-r-d-a-n
226,227,سروکله زدن,sarokale zadan,sarvakleː zadan,s-a-r-v-a-k-l-eː_z-a-d-a-n
227,228,ربودن,roboodan,robuːdan,r-o-b-uː-d-a-n
228,229,رسیدگی,residegi,resideɡi,r-e-s-i-d-e-ɡ-i
229,230,زد و خورد,zado khord,zad va xord,z-a-d_v-a_x-o-r-d
230,231,شرح دادن,sharh dadan,ʃarh dɑdan,ʃ-a-r-h_d-ɑ-d-a-n
231,232,ضرورت,zaroorat,zaruːrat,z-a-r-uː-r-a-t
232,233,طعم داشتن,taam dashtan,taʔm dɑʃtan,t-a-ʔ-m_d-ɑ-ʃ-t-a-n
233,234,فرزند,farzand,farzand,f-a-r-z-a-n-d
234,235,گرفتار,gereftar,ɡereftɑr,ɡ-e-r-e-f-t-ɑ-r
235,236,غیرقابل‌اعتماد,gheyre ghabel etemad,q1ejreq1ɑbeleʔtemɑd,q-1-e-j-r-e-q-1-ɑ-b-e-l-e-ʔ-t-e-m-ɑ-d
236,237,غلظت,ghelzat,q1elzat,q-1-e-l-z-a-t
237,238,مبدا,mabda,mabdaʔ,m-a-b-d-a-ʔ
238,239,بهبود,behbood,behbuːd,b-e-h-b-uː-d
239,240,بیهوده,bihoode,bihuːdeː,b-i-h-uː-d-eː
240,241,کارامد,karamad,kɑrɑmad,k-ɑ-r-ɑ-m-a-d
241,242,آب,ab,ɑb,ɑ-b
242,243,آموزش,amoozesh,ɑmuzeʃ,ɑ-m-u-z-e-ʃ
243,244,بابا,baba,bɑbɑ,b-ɑ-b-ɑ
244,245,شست,shost ,ʃast,ʃ-a-s-t
245,246,آبجی,abji,ɑbdʒi,ɑ-b-dʒ-i
246,247,آرامش,aramesh,ɑrɑmeʃ,ɑ-r-ɑ-m-e-ʃ
247,248,آرزو,arezoo,ɑrezu,ɑ-r-e-z-u
248,249,تابستان,tabestan,tɑbestɑn,t-ɑ-b-e-s-t-ɑ-n
249,250,تحریم,tahrim,tahrim,t-a-h-r-i-m
250,251,تخت,takht,taxt,t-a-x-t
251,252,تشنه,teshne,teʃneː,t-e-ʃ-n-eː
252,253,استاد,ostad,ostɑd,o-s-t-ɑ-d
253,254,اعتراض,eteraz,eʔterɑz,e-ʔ-t-e-r-ɑ-z
254,255,بازار,bazaar,bɑzɑr,b-ɑ-z-ɑ-r
255,256,پا,paa,pɑ,p-ɑ
256,257,برگه,barge,barɡah,b-a-r-ɡ-a-h
257,258,جمعه,jome,dʒomʔeː,dʒ-o-m-ʔ-eː
258,259,چنگال,changal,tʃanɡɑl,tʃ-a-n-ɡ-ɑ-l
259,260,تلویزیون,televizion,telvizijon,t-e-l-v-i-z-i-j-o-n
260,261,خیابان,khiaban,xiɑbɑn,x-i-ɑ-b-ɑ-n
261,262,دکتر,doctor,doktor,d-o-k-t-o-r
262,263,رنگ,rang,ranɡ,r-a-n-ɡ
263,264,سفید,sefid,sefid,s-e-f-i-d
264,265,سنگ,sang,sanɡ,s-a-n-ɡ
265,266,صحبت,sohbat,sohbat,s-o-h-b-a-t
266,267,شنا,shena ,ʃenɑ,ʃ-e-n-ɑ
267,268,کافه,kafe,kɑfeː,k-ɑ-f-eː
268,269,کتاب,ketab,ketɑb,k-e-t-ɑ-b
269,270,فوتبال,footbal,fuːtbɑl,f-uː-t-b-ɑ-l
270,271,گاو,gaav,ɡɑv,ɡ-ɑ-v
271,272,تاریخ,tareekh,tɑrix,t-ɑ-r-i-x
272,273,آبی,abi,ɑbi,ɑ-b-i
273,274,آهسته,aheste,ɑhesteː,ɑ-h-e-s-t-eː
274,275,استان,ostan,ostɑn,o-s-t-ɑ-n
275,276,بارانی,barani,bɑrɑni,b-ɑ-r-ɑ-n-i
276,277,بی ادب,bi adab,bi adab,b-i_a-d-a-b
277,278,پیاز,piaz,piɑz,p-i-ɑ-z
278,279,ترجمه,tarjome,tardʒomeː,t-a-r-dʒ-o-m-eː
279,280,تصادف,tasadof,tasɑdof,t-a-s-ɑ-d-o-f
280,281,تعجب,taajob,taʔadʒdʒob,t-a-ʔ-a-dʒ-dʒ-o-b
281,282,چاق,chagh,tʃɑq1,tʃ-ɑ-q-1
282,283,چراغ,cheragh,tʃerɑq1,tʃ-e-r-ɑ-q-1
283,284,چوب,choob,tʃuːb,tʃ-uː-b
284,285,داغ,dagh,dɑq1,d-ɑ-q-1
285,286,دانشگاه,daneshgah,dɑneʃɡɑh,d-ɑ-n-e-ʃ-ɡ-ɑ-h
286,287,دایی,daee,dɑiː,d-ɑ-iː
287,288,دبیرستان,dabirestan,dabirestɑn,d-a-b-i-r-e-s-t-ɑ-n
288,289,درد,dard,dard,d-a-r-d
289,290,درست,dorost,dorost,d-o-r-o-s-t
290,291,دلیل,dalil,dalil,d-a-l-i-l
291,292,رابطه,rabete,rɑbeteː,r-ɑ-b-e-t-eː
292,293,راست,rast,rɑst,r-ɑ-s-t
293,294,رد,rad  ,rad,r-a-d
294,295,ردیف,radif,radif,r-a-d-i-f
295,296,رستوران,restoraan,resturɑn,r-e-s-t-u-r-ɑ-n
296,297,رقص,raghs,raq1s,r-a-q-1-s
297,298,رمز,ramz,ramz,r-a-m-z
298,299,زبان,zaban,zabɑn,z-a-b-ɑ-n
299,300,زمین,zamin,zamin,z-a-m-i-n
300,301,زندگی,zendegi,zendeɡi,z-e-n-d-e-ɡ-i
301,302,ژست گرفتن,zhest gereftan,ʒest ɡereftan,ʒ-e-s-t_ɡ-e-r-e-f-t-a-n
302,303,ساده,sadegi,sɑdeː,s-ɑ-d-eː
303,304,سکه,seke,sekkeː,s-e-k-k-eː
304,305,شام,sham,ʃɑm,ʃ-ɑ-m
305,306,شفاف,shafaf,ʃaffɑf,ʃ-a-f-f-ɑ-f
306,307,صاف,saaf,sɑf,s-ɑ-f
307,308,عدد,adad,adad,a-d-a-d
308,309,عقب,aghab,aːq1ab,aː-q-1-a-b
309,310,غیبت,gheybat,q1ejbat,q-1-e-j-b-a-t
310,311,قند,ghand,q1and,q-1-a-n-d
311,312,قهوه,ghahve,q1ahveː,q-1-a-h-v-eː
312,313,کارمند,karmand,kɑrmand,k-ɑ-r-m-a-n-d
313,314,کودک,koodak,kuːdak,k-uː-d-a-k
314,315,کهنه,kohne,kohneː,k-o-h-n-eː
315,316,کیلوگرم,kiloogeram,kiluɡeram,k-i-l-u-ɡ-e-r-a-m
316,317,لوس,loos,luːs,l-uː-s
317,318,لیتر,litr,litr,l-i-t-r
318,319,لیمو,limoo,limuː,l-i-m-uː
319,320,مادربزرگ,madar bozorg,mɑdarbozorɡ,m-ɑ-d-a-r-b-o-z-o-r-ɡ
320,321,متولد,motevaled,motevalled,m-o-t-e-v-a-l-l-e-d
321,322,مربع,moraba,morabbaʔ,m-o-r-a-b-b-a-ʔ
322,323,معده,mede,meʔde,m-e-ʔ-d-e
323,324,ناخن,nakhon,nɑxon,n-ɑ-x-o-n
324,325,نکته,nokte,nokteː,n-o-k-t-eː
325,326,نماز,namaz,namɑz,n-a-m-ɑ-z
326,327,هزینه,hazine,hazineː,h-a-z-i-n-eː
327,328,آزادی,azadi,ɑzɑdi,ɑ-z-ɑ-d-i
328,329,آمبولانس,ambulnase,ɑmbulɑns,ɑ-m-b-u-l-ɑ-n-s
329,330,اجاق,ojagh,odʒɑq1,o-dʒ-ɑ-q-1
330,331,افتتاح,eftetah,eftetɑh,e-f-t-e-t-ɑ-h
331,332,اقیانوس,oghyanoos,oq1jɑnus,o-q-1-j-ɑ-n-u-s
332,333,الله,alah,aːllɑh,aː-l-l-ɑ-h
333,334,بادمجان,bademjan,bɑdemdʒɑn,b-ɑ-d-e-m-dʒ-ɑ-n
334,335,باشگاه,bashgah,bɑʃɡɑh,b-ɑ-ʃ-ɡ-ɑ-h
335,336,بهار,bahar,bahɑr,b-a-h-ɑ-r
336,337,بیشعور,boshoor,biʃour,b-i-ʃ-o-u-r
337,338,پایتخت,paytakht,pɑjtaxt,p-ɑ-j-t-a-x-t
338,339,پرستار,parastar,parastɑr,p-a-r-a-s-t-ɑ-r
339,340,پزشک,pezesh,pezeʃk,p-e-z-e-ʃ-k
340,341,تحقیق,pezeshk,tahq1iq1,t-a-h-q-1-i-q-1
341,342,تربیت,tarbiat,tarbijat,t-a-r-b-i-j-a-t
342,343,ترمیم,tarmim,tarmim,t-a-r-m-i-m
343,344,تفاوت,tafaavot,tafɑvot,t-a-f-ɑ-v-o-t
344,345,چتر,chatr,tʃatr,tʃ-a-t-r
345,346,چرخ,charkh,tʃarx,tʃ-a-r-x
346,347,تیره,tire,tireː,t-i-r-eː
347,348,جدول,jadval,dʒadval,dʒ-a-d-v-a-l
348,349,جراح,jaraah,dʒarrɑh,dʒ-a-r-r-ɑ-h
349,350,حلقه,halghe,halq1eː,h-a-l-q-1-eː
350,351,خاک,khaak,xɑk,x-ɑ-k
351,352,خجالت,khejalat,xedʒɑlat,x-e-dʒ-ɑ-l-a-t
352,353,خشم,khashm,xaʃm,x-a-ʃ-m
353,354,خطا,khata,xatɑ,x-a-t-ɑ
354,355,خودکار,khodkar,xodkɑr,x-o-d-k-ɑ-r
355,356,خیانت,khianat,xiɑnat,x-i-ɑ-n-a-t
356,357,دارو,daroo,dɑruː,d-ɑ-r-uː
357,358,دانشجو,daneshjoo,dɑneʃdʒu,d-ɑ-n-e-ʃ-dʒ-u
358,359,درخت,derakht,deraxt,d-e-r-a-x-t
359,360,دنیا,donya,donjɑ,d-o-n-j-ɑ
360,361,دوچرخه,doocharkhe,dotʃarxeː,d-o-tʃ-a-r-x-eː
361,362,ریسک,risk,risk,r-i-s-k
362,363,راننده,ranande,rɑnande,r-ɑ-n-a-n-d-e
363,364,رتبه,rotbe,rotbeː,r-o-t-b-eː
364,365,زاویه,zavye,zɑvje,z-ɑ-v-j-e
365,366,ساحل,sahel,sɑhel,s-ɑ-h-e-l
366,367,غایب,ghayeb,q1ɑjeb,q-1-ɑ-j-e-b
367,368,طرح,tarh,tarh,t-a-r-h
368,369,فیلم,film,film,f-i-l-m
369,370,قابلمه,ghableme,q1ɑblameː,q-1-ɑ-b-l-a-m-eː
370,371,قایق,ghayegh,q1ɑjeq1,q-1-ɑ-j-e-q-1
371,372,قرمه‌سبزی,ghorme sabzi,q1ormeːsabzi,q-1-o-r-m-eː-s-a-b-z-i
372,373,قلب,ghalb,q1alb,q-1-a-l-b
373,374,ماسک,mask,mɑsk,m-ɑ-s-k
374,375,متمم,motamam,motammem,m-o-t-a-m-m-e-m
375,376,مجازی,majazi,madʒɑzi,m-a-dʒ-ɑ-z-i
376,377,نفس,nafas,nafas,n-a-f-a-s
377,378,کارخانه,karkhane,kɑrxɑne,k-ɑ-r-x-ɑ-n-e
378,379,همکار,hamkaar,hamkɑr,h-a-m-k-ɑ-r
379,380,ابری,abri,aːbri,aː-b-r-i
380,381,ارتفاع,ertefa,ertefɑʔ,e-r-t-e-f-ɑ-ʔ
381,382,براق,baraagh,barrɑq1,b-a-r-r-ɑ-q-1
382,383,برق,bargh,barq1,b-a-r-q-1
383,384,بنزین,benzin,benzin,b-e-n-z-i-n
384,385,بدن سازی,badan saazi,badan sɑzi,b-a-d-a-n_s-ɑ-z-i
385,386,پرنده,parande,parandeː,p-a-r-a-n-d-eː
386,387,تجربی,tajrobi,tadʒrobi,t-a-dʒ-r-o-b-i
387,388,تسلیم,taslim,taslim,t-a-s-l-i-m
388,389,تفکر,tafakor,tafakkor,t-a-f-a-k-k-o-r
389,390,هدیه,hedie,hedije,h-e-d-i-j-e
390,391,تیتر,titr,titr,t-i-t-r
391,392,حقیقت,haghighat,haq1iq1at,h-a-q-1-i-q-1-a-t
392,393,خاموشی,khamooshi,xɑmuːʃi,x-ɑ-m-uː-ʃ-i
393,394,خبر,khabar,xabar,x-a-b-a-r
394,395,دستگاه,dastgah,dastɡɑh,d-a-s-t-ɡ-ɑ-h
395,396,راهنمایی,rahnamaee,rɑhnamɑiː,r-ɑ-h-n-a-m-ɑ-iː
396,397,رأی,ray,raʔj,r-a-ʔ-j
